name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,321,4.56s,9.33ms,62.35us,9.36ms,115.00us,9.16ms,9.84ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,2028,4.51s,1.47ms,13.75us,1.48ms,31.52us,1.43ms,1.73ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,160,4.56s,18.72ms,141.41us,18.75ms,214.71us,18.38ms,19.50ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,83261,4.56s,35.80us,349.00ns,35.98us,1.62us,32.36us,244.04us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,204,4.56s,14.70ms,118.51us,14.74ms,179.16us,14.46ms,15.28ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,512,4.56s,5.86ms,31.39us,5.87ms,47.48us,5.76ms,6.11ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,137,4.56s,21.91ms,189.74us,21.92ms,249.75us,21.40ms,22.72ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,30213,4.56s,98.56us,1.24us,99.25us,5.22us,86.24us,585.70us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,290,4.56s,10.42ms,286.40us,10.38ms,374.88us,8.78ms,11.12ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,733,4.56s,4.09ms,24.16us,4.10ms,43.20us,4.00ms,4.33ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,85,4.56s,35.23ms,243.69us,35.32ms,579.16us,32.79ms,36.91ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,47254,4.56s,62.94us,1.11us,63.44us,3.70us,54.53us,391.11us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,250,4.56s,11.88ms,182.89us,12.03ms,814.47us,10.24ms,21.36ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,571,4.56s,5.25ms,36.60us,5.26ms,57.70us,5.15ms,5.55ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,78,4.56s,38.50ms,309.12us,38.49ms,466.62us,36.07ms,39.21ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,13706,4.56s,217.38us,3.15us,218.85us,8.05us,205.19us,322.50us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,766,4.56s,3.90ms,36.95us,3.92ms,84.94us,3.31ms,4.40ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2152,4.56s,1.39ms,11.26us,1.39ms,21.27us,1.35ms,1.57ms
