name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,285,4.56s,10.51ms,150.01us,10.53ms,288.30us,8.55ms,11.68ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1631,4.56s,1.84ms,25.75us,1.84ms,65.77us,1.44ms,2.98ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,150,4.56s,19.99ms,221.03us,20.03ms,327.99us,19.30ms,21.03ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,77579,4.56s,37.99us,553.00ns,38.61us,1.95us,35.08us,104.31us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,193,4.56s,15.51ms,250.72us,15.55ms,392.24us,14.25ms,16.71ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,485,4.56s,6.17ms,44.13us,6.20ms,137.00us,5.88ms,7.35ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,128,4.56s,23.51ms,253.52us,23.57ms,364.65us,22.84ms,24.64ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,29585,4.56s,100.73us,1.95us,101.35us,7.89us,85.96us,672.08us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,286,4.56s,10.44ms,198.02us,10.49ms,298.49us,9.20ms,11.42ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,639,4.56s,4.71ms,47.06us,4.70ms,119.80us,4.03ms,5.76ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,79,4.56s,37.95ms,323.92us,38.13ms,651.46us,36.79ms,40.20ms
