name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,320,4.56s,9.37ms,82.42us,9.39ms,146.77us,9.05ms,10.19ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1738,4.51s,1.72ms,15.32us,1.73ms,52.88us,1.65ms,2.42ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,165,4.56s,18.15ms,96.39us,18.21ms,221.61us,17.88ms,19.16ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,82495,4.56s,35.94us,281.00ns,36.31us,1.89us,29.54us,151.47us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,204,4.56s,14.62ms,129.58us,14.76ms,373.15us,14.32ms,16.08ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,486,4.56s,6.17ms,27.90us,6.19ms,118.35us,5.88ms,8.24ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,138,4.56s,21.83ms,126.53us,21.90ms,272.76us,21.53ms,23.02ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,29807,4.56s,99.96us,1.43us,100.60us,4.00us,95.84us,212.75us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,301,4.56s,9.97ms,55.61us,10.00ms,192.17us,8.73ms,11.78ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,679,4.56s,4.41ms,28.24us,4.42ms,87.96us,4.11ms,6.24ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,84,4.56s,35.79ms,223.37us,35.80ms,519.79us,33.04ms,37.21ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,46996,4.56s,63.03us,478.00ns,63.79us,2.40us,60.36us,131.39us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,259,4.56s,11.57ms,58.58us,11.61ms,152.12us,11.38ms,12.27ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,551,4.56s,5.44ms,26.24us,5.45ms,49.81us,5.34ms,5.75ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,80,4.56s,37.55ms,148.96us,37.60ms,311.62us,37.15ms,39.28ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,13497,4.56s,220.91us,2.72us,222.24us,7.34us,208.43us,329.42us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,770,4.56s,3.89ms,20.95us,3.90ms,66.13us,3.56ms,4.45ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2092,4.56s,1.43ms,12.41us,1.43ms,29.02us,1.39ms,1.61ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,186,4.56s,16.18ms,46.15us,16.21ms,118.22us,16.04ms,16.81ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,111115,4.56s,26.75us,342.00ns,26.95us,1.83us,21.09us,100.89us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,94,4.56s,32.11ms,145.63us,32.20ms,345.02us,31.61ms,33.75ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,299,4.56s,10.04ms,84.75us,10.04ms,115.82us,9.82ms,10.49ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,153,4.56s,19.61ms,82.04us,19.68ms,182.99us,19.44ms,20.69ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,34325,4.56s,86.88us,1.39us,87.34us,4.21us,76.11us,333.36us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,65,4.56s,46.18ms,377.49us,46.51ms,1.27ms,45.35ms,52.92ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,198,4.56s,15.20ms,42.92us,15.23ms,93.25us,15.10ms,15.66ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,59,4.56s,50.95ms,174.04us,51.05ms,330.14us,50.50ms,52.01ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7686,4.56s,386.01us,5.49us,390.30us,13.97us,368.63us,494.67us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,89,4.56s,33.81ms,242.08us,33.90ms,409.27us,33.29ms,35.24ms
