name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,290,4.56s,10.38ms,134.97us,10.36ms,221.64us,9.72ms,11.55ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1591,4.51s,1.89ms,29.75us,1.89ms,87.52us,1.44ms,3.03ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,144,4.56s,20.91ms,231.69us,20.85ms,442.59us,19.23ms,21.74ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,77653,4.61s,38.22us,587.00ns,38.58us,1.61us,35.52us,116.85us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,191,4.56s,15.71ms,149.16us,15.77ms,286.86us,15.34ms,16.87ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,461,4.56s,6.52ms,44.03us,6.52ms,69.83us,6.30ms,6.81ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,132,4.56s,22.70ms,225.79us,22.76ms,407.59us,22.08ms,24.53ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,28939,4.56s,102.62us,1.75us,103.62us,4.57us,96.07us,157.77us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,280,4.56s,10.74ms,144.44us,10.75ms,236.18us,8.92ms,11.47ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,653,4.56s,4.59ms,31.70us,4.60ms,57.92us,4.46ms,4.85ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,79,4.61s,38.22ms,293.87us,38.36ms,590.36us,37.32ms,39.86ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,45866,4.56s,64.78us,1.65us,65.36us,3.40us,52.36us,196.99us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,245,4.56s,12.22ms,122.69us,12.28ms,227.47us,11.88ms,12.93ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,543,4.56s,5.50ms,51.19us,5.53ms,119.66us,4.82ms,6.00ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,76,4.56s,39.47ms,310.33us,39.58ms,521.10us,38.38ms,41.17ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,13430,4.56s,222.28us,3.23us,223.35us,8.61us,188.04us,388.68us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,766,4.56s,3.90ms,46.88us,3.92ms,78.81us,3.72ms,4.24ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2091,4.56s,1.43ms,14.66us,1.44ms,27.61us,1.37ms,1.65ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,175,4.56s,17.09ms,185.25us,17.15ms,259.58us,16.72ms,17.89ms
