name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,329,4.56s,9.26ms,103.62us,9.14ms,404.43us,8.08ms,9.85ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,2232,4.51s,1.33ms,12.50us,1.34ms,62.82us,1.29ms,2.96ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,179,4.56s,16.74ms,98.89us,16.79ms,182.66us,16.47ms,17.54ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,88615,4.56s,32.72us,916.00ns,33.80us,2.38us,29.49us,212.68us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,201,4.56s,14.86ms,164.70us,14.94ms,279.77us,14.45ms,15.91ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,507,4.51s,5.91ms,29.55us,5.92ms,55.11us,5.79ms,6.22ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,137,4.56s,21.88ms,251.85us,21.98ms,393.71us,21.41ms,23.17ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,32769,4.56s,90.06us,1.19us,91.50us,5.33us,85.71us,284.05us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,294,4.56s,10.17ms,122.72us,10.23ms,198.00us,9.96ms,10.95ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,797,4.56s,3.76ms,18.07us,3.77ms,50.14us,3.66ms,4.42ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,93,4.56s,32.46ms,199.62us,32.50ms,622.34us,29.99ms,35.68ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,49343,4.56s,59.63us,2.70us,60.75us,4.59us,52.44us,222.83us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,262,4.56s,11.77ms,505.00us,11.49ms,689.39us,9.94ms,13.15ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,635,4.56s,4.72ms,21.91us,4.73ms,42.63us,4.62ms,4.94ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,86,4.56s,35.24ms,202.42us,35.25ms,310.98us,34.76ms,36.19ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,14469,4.56s,203.82us,3.77us,207.31us,14.85us,187.47us,1.05ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,852,4.56s,3.51ms,21.85us,3.52ms,66.98us,3.37ms,3.96ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2297,4.51s,1.30ms,7.78us,1.31ms,23.03us,1.25ms,1.58ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,172,4.56s,17.39ms,264.81us,17.45ms,333.64us,16.93ms,18.51ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,121494,4.61s,24.51us,174.00ns,24.65us,1.06us,23.27us,97.44us
