name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,312,4.56s,9.56ms,174.04us,9.64ms,264.95us,8.66ms,10.25ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1948,4.51s,1.54ms,28.45us,1.54ms,53.56us,1.40ms,2.08ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,125,4.56s,24.07ms,195.75us,24.15ms,410.47us,22.60ms,25.49ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,83367,4.56s,35.73us,616.00ns,35.93us,1.73us,24.96us,140.70us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,206,4.56s,14.58ms,65.22us,14.61ms,143.39us,14.39ms,15.31ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,509,4.56s,5.89ms,26.02us,5.90ms,50.25us,5.79ms,6.17ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,142,4.56s,21.13ms,121.89us,21.17ms,221.72us,20.87ms,21.90ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,29728,4.56s,99.23us,2.43us,100.87us,5.07us,93.86us,179.82us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,295,4.56s,10.08ms,98.31us,10.17ms,211.17us,9.89ms,10.81ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,736,4.56s,4.07ms,22.06us,4.08ms,46.10us,3.99ms,4.33ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,84,4.61s,35.91ms,213.57us,36.04ms,480.72us,35.37ms,38.06ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,48613,4.56s,61.14us,558.00ns,61.66us,2.19us,58.62us,121.79us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,254,4.56s,11.82ms,151.35us,11.81ms,274.04us,10.66ms,12.93ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,586,4.56s,5.11ms,33.14us,5.13ms,85.18us,5.00ms,6.41ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,81,4.61s,37.45ms,214.65us,37.49ms,347.99us,36.94ms,38.86ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,13310,4.56s,223.29us,3.96us,225.36us,9.70us,207.74us,372.41us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,782,4.51s,3.82ms,20.04us,3.84ms,70.57us,3.74ms,4.37ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2183,4.56s,1.37ms,6.45us,1.37ms,21.66us,1.33ms,1.60ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,184,4.51s,16.25ms,62.79us,16.31ms,167.81us,16.10ms,17.15ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,114467,4.56s,25.80us,144.00ns,26.16us,1.08us,23.86us,81.35us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,93,4.56s,32.41ms,154.47us,32.58ms,725.88us,31.45ms,38.35ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,380,4.56s,7.88ms,90.75us,7.90ms,126.27us,7.72ms,8.34ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,154,4.56s,19.51ms,96.71us,19.60ms,265.27us,19.22ms,21.51ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,35119,4.56s,84.11us,1.14us,85.37us,3.52us,80.86us,208.80us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,67,4.61s,45.21ms,219.14us,45.34ms,468.84us,44.67ms,46.97ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,230,4.56s,13.01ms,59.49us,13.05ms,115.01us,12.58ms,13.60ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,58,4.61s,51.81ms,281.92us,51.89ms,413.12us,51.26ms,53.22ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7731,4.56s,385.06us,4.22us,388.02us,12.76us,359.73us,606.28us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,86,4.61s,35.34ms,605.22us,35.12ms,836.25us,33.05ms,37.75ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,327,4.56s,9.16ms,33.40us,9.19ms,99.61us,8.45ms,9.60ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,80,4.56s,37.45ms,140.09us,37.55ms,442.16us,37.20ms,40.18ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,10717,4.56s,278.28us,4.23us,279.89us,9.39us,262.90us,427.05us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,69,4.61s,43.77ms,171.50us,43.87ms,396.73us,43.27ms,45.80ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,232,4.56s,12.93ms,50.45us,12.96ms,92.66us,12.80ms,13.32ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,29,4.66s,104.46ms,395.92us,104.57ms,622.19us,103.63ms,106.02ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2480,4.51s,1.21ms,7.05us,1.21ms,27.58us,1.12ms,1.87ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,235,4.56s,12.79ms,111.87us,12.81ms,188.54us,12.46ms,13.77ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,812,4.56s,3.69ms,23.16us,3.70ms,41.24us,3.61ms,3.92ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,158,4.56s,19.01ms,67.32us,19.05ms,157.19us,18.86ms,20.22ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,44468,4.56s,66.33us,1.39us,67.41us,3.61us,63.38us,204.48us
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,9,4.86s,343.78ms,863.33us,344.50ms,2.34ms,342.15ms,349.51ms
