name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,343,4.56s,8.75ms,61.30us,8.76ms,92.27us,8.59ms,9.10ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1924,4.51s,1.55ms,18.16us,1.56ms,41.87us,1.34ms,2.64ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,157,4.56s,19.20ms,184.10us,19.23ms,271.35us,18.77ms,20.09ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,89246,4.56s,33.33us,244.00ns,33.57us,1.34us,31.57us,142.09us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,218,4.56s,13.76ms,79.66us,13.77ms,115.61us,13.53ms,14.11ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,533,4.56s,5.63ms,21.75us,5.63ms,43.26us,5.53ms,6.01ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,148,4.56s,20.37ms,111.29us,20.40ms,168.13us,20.10ms,21.08ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,32030,4.56s,92.12us,348.00ns,93.62us,4.07us,86.07us,213.67us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,292,4.56s,10.36ms,121.63us,10.29ms,440.56us,8.79ms,13.13ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,764,4.56s,3.92ms,19.05us,3.93ms,61.53us,3.79ms,4.70ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,87,4.61s,34.80ms,158.56us,34.88ms,495.81us,34.27ms,38.18ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,50805,4.56s,58.38us,353.00ns,59.01us,2.21us,56.07us,112.42us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,272,4.56s,11.07ms,54.23us,11.07ms,127.07us,10.32ms,11.59ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,614,4.56s,4.88ms,27.80us,4.89ms,51.86us,4.78ms,5.25ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,77,4.56s,39.02ms,180.83us,39.08ms,286.87us,38.54ms,39.70ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,13302,4.56s,223.53us,3.22us,225.51us,16.21us,192.79us,863.02us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,839,4.56s,3.57ms,22.11us,3.58ms,53.19us,3.49ms,3.91ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2261,4.56s,1.31ms,9.97us,1.33ms,51.94us,1.23ms,2.12ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,192,4.56s,15.65ms,90.91us,15.69ms,157.45us,15.46ms,16.28ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,118183,4.56s,25.11us,274.00ns,25.34us,1.75us,22.30us,183.51us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,95,4.56s,31.64ms,143.37us,31.62ms,265.68us,31.03ms,32.23ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,384,4.56s,7.78ms,27.43us,7.81ms,83.26us,7.64ms,8.12ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,157,4.56s,19.14ms,120.63us,19.17ms,193.78us,18.84ms,19.74ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,36568,4.56s,81.19us,608.00ns,81.99us,2.94us,77.26us,234.70us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,69,4.61s,44.00ms,126.03us,44.07ms,266.07us,43.61ms,44.87ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,235,4.56s,12.78ms,57.16us,12.81ms,161.48us,12.54ms,14.25ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,61,4.56s,49.50ms,297.57us,49.58ms,576.26us,48.67ms,52.09ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7914,4.56s,372.87us,4.77us,379.02us,16.59us,335.92us,521.76us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,90,4.56s,33.45ms,175.18us,33.45ms,280.26us,32.90ms,34.30ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,318,4.56s,9.21ms,201.81us,9.46ms,403.81us,8.87ms,10.13ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,82,4.61s,36.89ms,202.94us,36.92ms,276.37us,36.41ms,37.57ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,11100,4.56s,268.64us,2.79us,270.24us,7.96us,258.23us,376.41us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,63,4.56s,48.04ms,380.44us,47.88ms,569.55us,46.21ms,48.94ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,238,4.56s,12.64ms,33.74us,12.65ms,87.51us,12.52ms,13.43ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,31,4.61s,97.01ms,574.73us,96.92ms,814.11us,95.46ms,98.82ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2307,4.51s,1.30ms,15.83us,1.30ms,22.68us,1.25ms,1.40ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,243,4.56s,12.37ms,96.90us,12.39ms,158.02us,12.03ms,12.96ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,844,4.56s,3.56ms,22.78us,3.56ms,46.20us,3.45ms,4.02ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,166,4.56s,18.07ms,129.57us,18.08ms,202.31us,17.76ms,18.90ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,45481,4.56s,64.94us,1.21us,65.91us,3.14us,60.82us,177.85us
