name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,324,4.56s,9.23ms,45.75us,9.27ms,117.51us,9.02ms,9.71ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,951,4.56s,3.15ms,20.68us,3.16ms,83.92us,2.93ms,4.50ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,172,4.56s,17.44ms,64.49us,17.47ms,154.28us,17.20ms,18.17ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,87768,4.56s,33.66us,403.00ns,34.13us,1.57us,31.16us,107.93us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,219,4.56s,13.72ms,61.27us,13.74ms,118.00us,13.39ms,14.20ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,503,4.56s,5.96ms,20.80us,5.97ms,39.72us,5.89ms,6.23ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,146,4.56s,20.43ms,110.84us,20.60ms,448.61us,20.18ms,23.51ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,31148,4.56s,94.61us,2.25us,96.27us,5.03us,86.25us,233.65us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,297,4.56s,10.10ms,61.02us,10.12ms,120.79us,9.92ms,10.70ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,629,4.56s,4.77ms,26.69us,4.77ms,48.34us,4.65ms,5.21ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,90,4.56s,33.46ms,81.57us,33.52ms,212.95us,33.22ms,34.24ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,49212,4.56s,59.71us,1.26us,60.92us,4.03us,56.55us,143.16us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,264,4.56s,11.34ms,55.78us,11.38ms,151.64us,11.09ms,12.87ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,538,4.56s,5.56ms,27.86us,5.58ms,74.94us,5.44ms,6.23ms
