name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,334,4.56s,8.83ms,74.50us,9.00ms,352.87us,8.16ms,10.99ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,2006,4.51s,1.49ms,14.56us,1.50ms,32.89us,1.44ms,1.75ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,157,4.56s,19.08ms,175.80us,19.14ms,260.27us,18.66ms,19.83ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,80562,4.56s,36.74us,857.00ns,37.18us,2.39us,29.89us,338.99us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,198,4.56s,15.15ms,136.42us,15.18ms,199.77us,14.77ms,15.67ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,525,4.51s,5.71ms,19.94us,5.72ms,43.64us,5.62ms,5.99ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,145,4.56s,20.69ms,152.87us,20.79ms,464.56us,19.21ms,24.08ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,29225,4.56s,101.11us,2.31us,102.60us,7.07us,86.41us,475.78us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,314,4.56s,9.56ms,67.83us,9.57ms,110.95us,9.39ms,10.16ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,715,4.56s,4.18ms,32.46us,4.20ms,84.53us,4.04ms,4.88ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,84,4.56s,36.33ms,412.18us,35.99ms,1.21ms,33.19ms,38.40ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,46238,4.56s,64.33us,1.29us,64.83us,2.98us,60.73us,232.71us
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,265,4.56s,11.33ms,64.86us,11.36ms,126.79us,11.10ms,12.18ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,567,4.56s,5.28ms,37.16us,5.29ms,59.31us,5.14ms,5.55ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,83,4.56s,36.20ms,171.87us,36.25ms,252.90us,35.74ms,37.17ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,14187,4.56s,210.15us,2.55us,211.43us,9.97us,193.08us,470.65us
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,822,4.56s,3.62ms,34.26us,3.65ms,100.68us,3.44ms,4.50ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2231,4.56s,1.34ms,9.00us,1.34ms,23.47us,1.30ms,1.56ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,186,4.56s,16.12ms,107.69us,16.17ms,231.72us,15.87ms,18.32ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,113117,4.56s,25.93us,825.00ns,26.47us,2.42us,22.32us,214.91us
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,95,4.56s,31.86ms,154.77us,31.90ms,266.63us,31.28ms,32.76ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,375,4.56s,8.00ms,68.57us,8.02ms,101.34us,7.84ms,8.50ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,140,4.56s,21.42ms,149.31us,21.46ms,282.63us,21.02ms,22.56ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,36238,4.56s,81.59us,642.00ns,82.73us,3.78us,76.01us,255.06us
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,68,4.56s,44.31ms,260.23us,44.32ms,386.84us,43.71ms,45.93ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,227,4.56s,13.21ms,41.94us,13.22ms,66.22us,13.06ms,13.45ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,60,4.56s,50.15ms,236.72us,50.27ms,446.78us,49.47ms,52.25ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,7417,4.56s,402.38us,3.51us,404.44us,12.40us,356.97us,720.08us
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,82,4.56s,36.87ms,336.48us,36.91ms,492.97us,36.04ms,38.22ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,298,4.56s,10.07ms,42.54us,10.09ms,134.27us,9.92ms,11.16ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,78,4.61s,38.74ms,206.06us,38.88ms,524.21us,38.28ms,41.79ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,10237,4.56s,290.29us,4.54us,293.00us,10.34us,274.36us,442.00us
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,66,4.56s,46.29ms,1.55ms,45.48ms,2.32ms,41.72ms,49.55ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,216,4.56s,13.88ms,59.86us,13.89ms,112.57us,13.70ms,14.48ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,31,4.66s,98.87ms,358.53us,99.00ms,563.42us,97.90ms,100.31ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,2517,4.51s,1.19ms,8.04us,1.19ms,21.85us,1.15ms,1.45ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,813478,222,4.56s,13.48ms,125.96us,13.53ms,244.24us,13.10ms,14.37ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,831,4.56s,3.61ms,18.11us,3.61ms,31.54us,3.48ms,3.82ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,813478,165,4.56s,18.24ms,86.49us,18.27ms,159.83us,17.98ms,19.04ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,813478,45330,4.56s,64.96us,697.00ns,66.13us,3.39us,60.60us,241.70us
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,268796,10,4.96s,328.36ms,603.48us,328.40ms,1.56ms,325.49ms,331.16ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,268796,4,5.16s,849.79ms,191.46us,849.65ms,451.01us,848.91ms,850.11ms
curated/03-date/ascii,count-spans,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,268796,9,5.11s,360.54ms,1.62ms,361.79ms,3.77ms,358.37ms,370.78ms
