name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
imported/leipzig/twain,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,18,4.76s,173.81ms,1.33ms,171.84ms,4.29ms,165.58ms,178.78ms
imported/leipzig/twain,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,120,4.56s,24.95ms,227.61us,25.08ms,477.08us,23.72ms,26.48ms
imported/leipzig/twain,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,10,4.76s,311.53ms,3.08ms,314.40ms,6.39ms,308.18ms,326.21ms
imported/leipzig/twain,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,4574,4.56s,606.32us,25.54us,655.88us,99.25us,477.89us,2.22ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,12,4.61s,250.24ms,1.06ms,250.43ms,1.34ms,248.40ms,252.87ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,29,4.66s,104.37ms,519.93us,104.63ms,1.04ms,103.08ms,108.52ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,9,5.26s,374.67ms,0.98ms,374.09ms,1.97ms,370.05ms,377.08ms
imported/leipzig/twain-insensitive,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,2225,4.56s,1.34ms,22.03us,1.35ms,62.27us,1.15ms,2.22ms
imported/leipzig/shing,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,11,4.66s,276.72ms,4.96ms,277.08ms,7.49ms,260.27ms,288.74ms
imported/leipzig/shing,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,33,4.66s,92.27ms,421.23us,91.50ms,2.23ms,85.28ms,93.98ms
imported/leipzig/shing,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,7,4.86s,441.97ms,2.25ms,441.76ms,2.85ms,436.63ms,446.00ms
imported/leipzig/shing,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,3455,4.56s,846.19us,19.97us,868.40us,58.33us,799.23us,1.42ms
imported/leipzig/huck-saw,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,11,4.96s,288.71ms,1.42ms,289.05ms,2.45ms,285.83ms,294.37ms
imported/leipzig/huck-saw,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,91,4.56s,32.97ms,172.55us,33.00ms,267.97us,32.50ms,33.72ms
imported/leipzig/huck-saw,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,7,5.01s,452.57ms,746.63us,451.74ms,2.25ms,447.24ms,454.24ms
imported/leipzig/huck-saw,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,3501,4.56s,843.79us,22.12us,856.92us,49.87us,791.51us,1.39ms
imported/leipzig/word-ending-nn,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,4425,4.56s,673.84us,15.81us,678.03us,34.98us,572.44us,1.32ms
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,6,5.16s,564.82ms,652.72us,565.38ms,1.64ms,564.16ms,568.84ms
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,8,5.01s,385.30ms,642.91us,385.48ms,816.81us,384.58ms,387.00ms
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,3,5.91s,1.18s,482.69us,1.17s,2.28ms,1.17s,1.18s
imported/leipzig/certain-long-strings-ending-x,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,879,4.56s,3.26ms,115.96us,3.41ms,409.88us,2.97ms,8.29ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,7,5.41s,499.48ms,5.12ms,493.10ms,12.68ms,469.41ms,506.12ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,24,4.66s,125.16ms,732.52us,125.31ms,869.95us,123.90ms,126.71ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,9,4.86s,341.62ms,0.96ms,341.18ms,1.09ms,339.66ms,342.74ms
imported/leipzig/tom-sawyer-huckle-finn,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,3373,4.56s,880.42us,9.33us,889.49us,35.95us,846.29us,1.65ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,5,5.46s,680.68ms,728.55us,681.36ms,2.24ms,679.60ms,685.75ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,14,4.61s,218.84ms,941.21us,218.59ms,1.50ms,216.08ms,221.00ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,4,4.86s,807.37ms,14.20ms,810.01ms,17.37ms,792.47ms,832.83ms
imported/leipzig/tom-sawyer-huckle-fin-insensitive,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,150,4.56s,19.92ms,138.31us,20.03ms,331.79us,19.68ms,21.77ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,4,4.91s,808.86ms,1.45ms,808.98ms,1.77ms,806.71ms,811.47ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,13,4.76s,236.54ms,458.47us,236.93ms,1.53ms,235.65ms,241.96ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,4,4.71s,776.35ms,655.63us,775.74ms,1.83ms,772.69ms,777.58ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-short,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,2991,4.56s,1.01ms,28.01us,1.00ms,57.05us,862.79us,2.07ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,4,5.71s,949.90ms,18.71ms,947.19ms,21.98ms,918.95ms,0.97s
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,11,4.86s,283.27ms,1.02ms,283.43ms,1.34ms,280.72ms,285.59ms
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,3,5.21s,1.05s,4.90ms,1.04s,18.51ms,1.02s,1.06s
imported/leipzig/tom-sawyer-huckle-fin-prefix-long,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,2824,4.56s,1.05ms,14.80us,1.06ms,49.43us,1.00ms,1.70ms
imported/leipzig/tom-river,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,10,4.56s,302.20ms,1.90ms,302.19ms,2.72ms,297.84ms,306.75ms
imported/leipzig/tom-river,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,61,4.66s,49.99ms,309.67us,49.97ms,409.24us,49.10ms,51.01ms
imported/leipzig/tom-river,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,16013977,7,5.46s,487.47ms,2.54ms,494.10ms,10.47ms,484.93ms,510.28ms
imported/leipzig/tom-river,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,16013977,2662,4.56s,1.12ms,12.07us,1.13ms,39.02us,1.08ms,1.69ms
imported/leipzig/ing,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,16013977,9,5.16s,366.43ms,1.05ms,366.26ms,1.16ms,364.79ms,368.58ms
imported/leipzig/ing,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,16013977,23,4.76s,136.19ms,1.88ms,134.08ms,3.40ms,129.49ms,139.86ms
