name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,1925,4.51s,1.55ms,16.64us,1.56ms,74.31us,1.41ms,3.85ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,513,4.56s,5.93ms,108.48us,5.85ms,189.32us,5.33ms,7.04ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,707,4.56s,4.20ms,36.36us,4.25ms,123.10us,3.87ms,4.72ms
curated/01-literal/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,566,4.56s,5.30ms,33.74us,5.31ms,58.95us,5.19ms,5.54ms
curated/01-literal/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,2089,4.56s,1.43ms,11.38us,1.44ms,24.89us,1.38ms,1.62ms
curated/02-literal-alternate/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,371,4.56s,8.08ms,35.48us,8.10ms,110.77us,7.55ms,9.67ms
curated/02-literal-alternate/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,224,4.56s,13.39ms,47.28us,13.40ms,77.86us,13.24ms,13.73ms
curated/02-literal-alternate/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,314,4.56s,9.55ms,29.72us,9.56ms,53.72us,9.46ms,9.80ms
curated/02-literal-alternate/sherlock-casei-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,222,4.56s,13.32ms,86.03us,13.57ms,382.13us,12.86ms,14.39ms
curated/02-literal-alternate/sherlock-zh,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,813478,817,4.56s,3.67ms,27.08us,3.67ms,39.22us,3.58ms,3.84ms
