name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,334,4.56s,8.96ms,123.40us,9.00ms,191.60us,8.75ms,10.25ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,2062,4.51s,1.43ms,12.49us,1.45ms,190.38us,1.34ms,5.00ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,180,4.56s,16.63ms,29.62us,16.70ms,235.07us,16.50ms,17.79ms
curated/01-literal/sherlock-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,86439,4.56s,34.17us,213.00ns,34.66us,1.91us,29.58us,198.77us
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,899232,215,4.56s,14.02ms,42.55us,13.96ms,214.84us,13.10ms,15.23ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,899232,560,4.56s,5.31ms,33.86us,5.36ms,254.40us,5.12ms,7.46ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,899232,142,4.56s,21.07ms,81.80us,21.19ms,526.55us,20.89ms,26.53ms
curated/01-literal/sherlock-casei-en,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,899232,31486,4.56s,93.42us,1.48us,95.24us,4.66us,89.74us,177.35us
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-vm,0.1.0,,1570556,320,4.56s,9.38ms,27.26us,9.40ms,72.94us,9.28ms,9.95ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),gregex/pike-jit,0.1.0,,1570556,729,4.56s,4.11ms,13.68us,4.12ms,38.91us,4.04ms,4.37ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex/pikevm,0.4.8,,1570556,89,4.56s,33.88ms,69.95us,33.93ms,289.87us,33.71ms,35.55ms
curated/01-literal/sherlock-ru,count,0.1.0 (rev 19aa8e8e3b),rust/regex,1.11.0,,1570556,49266,4.56s,60.25us,591.00ns,60.85us,2.38us,57.31us,152.99us
